Job Title,Company Name,Location,Experience,Link,Posted Date
Data Analytic | Fresher | Business Analytics,Fortune India 500 Financial Services Corporation,"Hyderabad, Chennai, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-data-analytic-fresher-business-analytics-creative-hands-hr-hyderabad-chennai-bengaluru-0-to-5-years-050924013777,2024-09-05
Business Intelligence Analyst,Applied Materials,"Hyderabad, Chennai, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-business-intelligence-analyst-applied-materials-india-private-limited-bengaluru-4-to-7-years-050924913622,2024-09-05
Lead Data Scientist,Tek Travels,"Hyderabad, Chennai, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-lead-data-scientist-tek-travels-gurugram-5-to-8-years-140824014480,2024-09-05
Business Analyst,Axa Xl,"Hyderabad, Chennai, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-business-analyst-xl-india-business-services-pvt-ltd-bengaluru-2-to-4-years-050924913470,2024-09-05
Sr. Data Engineer,Exponentia Datalabs,"Hyderabad, Chennai, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-sr-data-engineer-exponentia-ai-private-limited-mumbai-6-to-10-years-050924013197,2024-09-05
Data Analyst Trainer,Livetechindia,"Hyderabad, Chennai, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-data-analyst-trainer-livetechindia-mumbai-2-to-4-years-050924913180,2024-09-05
Data Analyst Trainer,Livetechindia,"Hyderabad, Chennai, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-data-analyst-trainer-livetechindia-mumbai-2-to-4-years-050924913146,2024-09-05
Sr BI Specialist,Cnsi,"Hyderabad, Chennai, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-sr-bi-specialist-cnsi-chennai-6-to-8-years-050924012722,2024-09-05
Machine Learning Engineer,Cnsi,"Hyderabad, Chennai, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-machine-learning-engineer-cnsi-chennai-2-to-4-years-050924012610,2024-09-05
Sr Machine Learning Engineer,Cnsi,"Hyderabad, Chennai, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-sr-machine-learning-engineer-cnsi-chennai-5-to-8-years-050924012518,2024-09-05
Data Analyst,Leading Client,"Hyderabad, Chennai, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-data-analyst-golden-opportunities-pvt-ltd-mumbai-3-to-8-years-050924912481,2024-09-05
Hiring For Market Mix Modeling (MMM),Infogain,"Hyderabad, Chennai, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-hiring-for-market-mix-modeling-mmm-infogain-noida-gurugram-mumbai-all-areas-4-to-7-years-050924012471,2024-09-05
